dataset,k,metric,run_id,split,value
fiqa-2018_bm25,1,recall,bm25_beir3,test,0.10215861813084036
fiqa-2018_bm25,1,precision,bm25_beir3,test,0.21450617283950618
fiqa-2018_bm25,1,ndcg,bm25_beir3,test,0.21450617283950618
fiqa-2018_bm25,1,mrr,bm25_beir3,test,0.21450617283950618
fiqa-2018_bm25,3,recall,bm25_beir3,test,0.18367251746881377
fiqa-2018_bm25,3,precision,bm25_beir3,test,0.13065843621399176
fiqa-2018_bm25,3,ndcg,bm25_beir3,test,0.19568762732323552
fiqa-2018_bm25,3,mrr,bm25_beir3,test,0.25925925925925924
fiqa-2018_bm25,5,recall,bm25_beir3,test,0.2343994739828073
fiqa-2018_bm25,5,precision,bm25_beir3,test,0.09907407407407408
fiqa-2018_bm25,5,ndcg,bm25_beir3,test,0.20980798072350249
fiqa-2018_bm25,5,mrr,bm25_beir3,test,0.27391975308641975
fiqa-2018_bm25,10,recall,bm25_beir3,test,0.29792941112385557
fiqa-2018_bm25,10,precision,bm25_beir3,test,0.06620370370370371
fiqa-2018_bm25,10,ndcg,bm25_beir3,test,0.23222577968689287
fiqa-2018_bm25,10,mrr,bm25_beir3,test,0.2871086860670194
fiqa-2018_bm25,20,recall,bm25_beir3,test,0.35767024470728176
fiqa-2018_bm25,20,precision,bm25_beir3,test,0.040817901234567903
fiqa-2018_bm25,20,ndcg,bm25_beir3,test,0.2508961976431039
fiqa-2018_bm25,20,mrr,bm25_beir3,test,0.29206984810377484
fiqa-2018_bm25,,mrr,bm25_beir3,test,0.2957577650489068
